"tourney_date","match_num","surface","player1_name","player2_name","match_outcome","player1_hand","player2_hand","rank_diff","elo_diff","ht_diff","age_diff","set1_diff","set2_diff","set3_diff","set1_outcome","set2_outcome","set3_outcome"
20061023,3,"Carpet","Thomas Johansson","Frank Dancevic","WLW","R","R",-18,143.529903960517,-5,9.5,6,-1,3,"1","0","1"
20061023,4,"Carpet","Mikhail Youzhny","Rainer Schuettler","WW","R","R",-82,182.988372913332,3,-6.1,1,2,0,"1","1","0"
20061023,5,"Carpet","Tommy Haas","Nenad Zimonjic","WLW","R","R",-661,306.753557909991,-2,-1.8,4,-1,4,"1","0","1"
20061023,6,"Carpet","Bjorn Phau","Igor Kunitsyn","LL","R","R",-54,-60.5212811459348,-5,2,-1,-3,0,"0","0","0"
20061023,7,"Carpet","Daniele Bracciali","Potito Starace","LL","R","R",-30,1.28650862182758,-8,3.5,-3,-3,0,"0","0","0"
20061023,8,"Carpet","Jarkko Nieminen","Janko Tipsarevic","WW","L","R",-48,271.726367348219,5,2.9,2,4,0,"1","1","0"
20061023,9,"Carpet","Dmitry Tursunov","Max Mirnyi","WLL","R","R",-38,76.0473804867447,-11,-5.4,2,-3,-2,"1","0","0"
20061023,10,"Carpet","Andrei Pavel","Marin Cilic","WW","R","R",-79,15.1874199151584,-15,14.7,2,2,0,"1","1","0"
20061023,11,"Carpet","Raemon Sluiter","Lukasz Kubot","WLW","R","R",-35,-19.3730312278246,-5,4.1,2,-3,3,"1","0","1"
20061023,12,"Carpet","Mario Ancic","Paul Goldstein","WW","R","R",-59,266.821111177226,18,-7.7,2,5,0,"1","1","0"
20061023,13,"Carpet","Jurgen Melzer","Lukas Dlouhy","WLL","L","R",-69,125.267958570308,-2,1.9,3,-2,-3,"1","0","0"
20061023,14,"Carpet","Robin Vik","Ernests Gulbis","LWL","R","R",-123,-22.722343152268,-7,8.6,-2,3,-1,"0","1","0"
20061023,15,"Carpet","Jan Hernych","Evgeny Korolev","LWW","R","R",-3,1.06624986393945,5,8.6,-1,2,1,"0","1","1"
20061023,16,"Carpet","Tommy Robredo","Wayne Arthurs","LWL","R","L",-188,235.29936575892,-10,-11.2,-3,4,-2,"0","1","0"
20061023,17,"Carpet","Nikolay Davydenko","Wesley Moodie","WLL","R","R",-129,248.014235212441,-18,-2.3,4,0,0,"1","0","0"
20061023,19,"Carpet","Tommy Haas","Igor Kunitsyn","LWL","R","R",-115,274.318822431573,8,3.5,-1,2,-4,"0","1","0"
20061023,20,"Carpet","Jarkko Nieminen","Potito Starace","LL","L","R",-79,169.187797171135,-3,0,-2,-1,0,"0","0","0"
20061023,21,"Carpet","Max Mirnyi","Andrei Pavel","WW","R","R",-46,65.4768812708537,13,-3.5,3,2,0,"1","1","0"
20061023,22,"Carpet","Mario Ancic","Raemon Sluiter","WW","R","R",-72,320.140575058412,11,-6,3,2,0,"1","1","0"
20061023,23,"Carpet","Lukas Dlouhy","Ernests Gulbis","WLL","R","R",-96,-58.6200046405345,-5,5.4,2,-3,-3,"1","0","0"
20061023,24,"Carpet","Jan Hernych","Wayne Arthurs","WW","R","L",-111,30.2941271089983,0,-8.4,2,2,0,"1","1","0"
20061023,25,"Carpet","Thomas Johansson","Wesley Moodie","WLW","R","R",-71,64.4298545126776,-16,3.9,3,-3,3,"1","0","1"
20061023,26,"Carpet","Potito Starace","Igor Kunitsyn","LL","R","R",-31,1.04779362336649,8,0.199999999999999,-3,-4,0,"0","0","0"
20061023,27,"Carpet","Mario Ancic","Max Mirnyi","WW","R","R",-48,217.405537398662,0,-6.7,2,2,0,"1","1","0"
20061023,28,"Carpet","Jan Hernych","Ernests Gulbis","LWL","R","R",-119,37.5983408682832,0,9.1,-1,1,-4,"0","1","0"
